Data,TempMaxima
02/01/2014,32.9
03/01/2014,33.3
04/01/2014,33.5
05/01/2014,31.7
06/01/2014,31.7
07/01/2014,31.7
08/01/2014,30.8
09/01/2014,29.9
10/01/2014,29.3
11/01/2014,32.3
12/01/2014,31.5
13/01/2014,31.3
14/01/2014,30.9
15/01/2014,32.3
16/01/2014,33.5
17/01/2014,32.5
18/01/2014,30.9
19/01/2014,29.5
20/01/2014,31.3
21/01/2014,29.5
22/01/2014,32.5
23/01/2014,32.3
24/01/2014,31.7
25/01/2014,32.4
26/01/2014,32.3
27/01/2014,32.3
28/01/2014,31.9
29/01/2014,32.5
30/01/2014,32.9
31/01/2014,33
01/02/2014,33.3
02/02/2014,34
03/02/2014,33.7
04/02/2014,33.3
05/02/2014,32.9
06/02/2014,33.5
07/02/2014,32.3
08/02/2014,32.9
09/02/2014,32.9
10/02/2014,32.9
11/02/2014,33.7
12/02/2014,33.5
13/02/2014,32.9
14/02/2014,33.4
15/02/2014,34.3
16/02/2014,33.2
17/02/2014,32.7
18/02/2014,27.1
19/02/2014,27.7
20/02/2014,31.5
21/02/2014,31.9
22/02/2014,32.2
23/02/2014,31.9
24/02/2014,31.9
25/02/2014,32.9
26/02/2014,32.3
27/02/2014,33.3
28/02/2014,34.5
01/03/2014,33.3
02/03/2014,35.3
03/03/2014,31.9
04/03/2014,30.9
05/03/2014,31.3
06/03/2014,32.3
07/03/2014,32.5
08/03/2014,32.7
09/03/2014,31.9
10/03/2014,32.7
11/03/2014,32.3
12/03/2014,32.7
13/03/2014,32.7
14/03/2014,32.9
15/03/2014,32.5
16/03/2014,32
17/03/2014,32.3
18/03/2014,32.1
19/03/2014,32.8
20/03/2014,34.5
21/03/2014,34.5
22/03/2014,34.7
23/03/2014,27.5
24/03/2014,28.3
25/03/2014,29.5
26/03/2014,27.3
27/03/2014,30
28/03/2014,29.3
29/03/2014,28.9
30/03/2014,31.8
31/03/2014,30.9
01/04/2014,31.7
02/04/2014,32.3
03/04/2014,32
04/04/2014,28.7
05/04/2014,28.7
06/04/2014,29.9
07/04/2014,31.3
08/04/2014,31.9
09/04/2014,32.5
10/04/2014,32.7
11/04/2014,31.1
12/04/2014,30.9
13/04/2014,31.5
14/04/2014,32.5
15/04/2014,29.5
16/04/2014,28.3
17/04/2014,30.5
18/04/2014,30.5
19/04/2014,32.7
20/04/2014,33.6
21/04/2014,29.1
22/04/2014,32.3
23/04/2014,34.1
24/04/2014,28.9
25/04/2014,27.2
26/04/2014,27.7
27/04/2014,27.3
28/04/2014,26.3
29/04/2014,27.4
30/04/2014,27.9
01/05/2014,28.4
02/05/2014,30.9
03/05/2014,29.1
04/05/2014,29.9
05/05/2014,31.1
06/05/2014,31.3
07/05/2014,31.4
08/05/2014,31.9
09/05/2014,32.7
10/05/2014,27.5
11/05/2014,23.8
12/05/2014,26.7
13/05/2014,27
14/05/2014,29.3
15/05/2014,29.4
16/05/2014,29.7
17/05/2014,28.8
18/05/2014,28.5
19/05/2014,30.5
20/05/2014,28.9
21/05/2014,30.5
22/05/2014,31.5
23/05/2014,32.7
24/05/2014,28.9
25/05/2014,26.3
26/05/2014,29.3
27/05/2014,27.9
28/05/2014,27.8
29/05/2014,26.3
30/05/2014,26.3
31/05/2014,27.5
01/06/2014,29.5
02/06/2014,29.5
03/06/2014,27.7
04/06/2014,26.9
05/06/2014,31.9
06/06/2014,32
07/06/2014,29.3
08/06/2014,29.3
09/06/2014,30.9
10/06/2014,27.4
11/06/2014,28.9
12/06/2014,27.9
13/06/2014,23.6
14/06/2014,28.7
