Estacao;Data;Hora;TempBulboSeco;
83648;02/01/2014;0000;26.6;
83648;02/01/2014;1200;28.8;
83648;03/01/2014;0000;26.2;
83648;03/01/2014;1200;27.8;
83648;04/01/2014;0000;26.2;
83648;04/01/2014;1200;28.4;
83648;05/01/2014;0000;25.8;
83648;05/01/2014;1200;28.6;
83648;06/01/2014;0000;25.6;
83648;06/01/2014;1200;28.2;
83648;07/01/2014;0000;25.4;
83648;07/01/2014;1200;27.2;
83648;08/01/2014;0000;25.8;
83648;08/01/2014;1200;27.2;
83648;09/01/2014;0000;26.2;
83648;09/01/2014;1200;25.2;
83648;10/01/2014;0000;26.2;
83648;10/01/2014;1200;26.4;
83648;11/01/2014;0000;25.8;
83648;11/01/2014;1200;27.6;
83648;12/01/2014;0000;26.4;
83648;12/01/2014;1200;27.4;
83648;13/01/2014;0000;26.6;
83648;13/01/2014;1200;28.2;
83648;14/01/2014;0000;26.6;
83648;14/01/2014;1200;27.6;
83648;15/01/2014;0000;26.2;
83648;15/01/2014;1200;28.4;
83648;16/01/2014;0000;26.2;
83648;16/01/2014;1200;28.2;
83648;17/01/2014;0000;26.4;
83648;17/01/2014;1200;28.2;
83648;18/01/2014;0000;26.6;
83648;18/01/2014;1200;27.2;
83648;19/01/2014;0000;23.6;
83648;19/01/2014;1200;24.8;
83648;20/01/2014;0000;24.2;
83648;20/01/2014;1200;28.2;
83648;21/01/2014;0000;25.6;
83648;21/01/2014;1200;26.8;
83648;22/01/2014;0000;26.2;
83648;22/01/2014;1200;29.2;
83648;23/01/2014;0000;26.4;
83648;23/01/2014;1200;29.2;
83648;24/01/2014;0000;26.6;
83648;24/01/2014;1200;28.8;
83648;25/01/2014;0000;26.4;
83648;25/01/2014;1200;28.4;
83648;26/01/2014;0000;26.6;
83648;26/01/2014;1200;29.2;
83648;27/01/2014;0000;26.6;
83648;27/01/2014;1200;28.6;
83648;28/01/2014;0000;26.8;
83648;28/01/2014;1200;28.9;
83648;29/01/2014;0000;26.6;
83648;29/01/2014;1200;29.8;
83648;30/01/2014;0000;27.2;
83648;30/01/2014;1200;29.8;
83648;31/01/2014;0000;26.8;
83648;31/01/2014;1200;29.3;
83648;31/01/2014;1800;30.9;
83648;01/02/2014;0000;27.2;
83648;01/02/2014;1200;29.4;
83648;01/02/2014;1800;31.8;
83648;02/02/2014;0000;27.6;
83648;02/02/2014;1200;29.6;
83648;02/02/2014;1800;32.8;
83648;03/02/2014;0000;28.3;
83648;03/02/2014;1200;30.2;
83648;03/02/2014;1800;32.4;
83648;04/02/2014;0000;27.2;
83648;04/02/2014;1200;29.7;
83648;04/02/2014;1800;31.8;
83648;05/02/2014;0000;27.4;
83648;05/02/2014;1200;28.2;
83648;05/02/2014;1800;32.2;
83648;06/02/2014;0000;27.4;
83648;06/02/2014;1200;29.2;
83648;06/02/2014;1800;32.8;
83648;07/02/2014;0000;27.8;
83648;07/02/2014;1200;25.8;
83648;07/02/2014;1800;31.8;
83648;08/02/2014;0000;26.8;
83648;08/02/2014;1200;28.6;
83648;08/02/2014;1800;31.8;
